,Credibility Indicator Category,Question Number,Answer Number,Point Recommendation,Credibility Indicator Name,Start,End
117,Evidence,12,4,0,Open to evidence,0,0
117,Evidence,12,4,0,Open to evidence,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
100,Evidence,8,2,-3,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
113,Evidence,11,5,0,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
108,Evidence,10,5,0,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
88,Evidence,4,4,-2,Sample representativeness,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
116,Evidence,12,3,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
94,Evidence,5,4,-2,Control condition,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
116,Evidence,12,3,0,Open to evidence,0,0
116,Evidence,12,3,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
116,Evidence,12,3,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
108,Evidence,10,5,0,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
100,Evidence,8,2,-3,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
99,Evidence,8,1,-4,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
108,Evidence,10,5,0,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
100,Evidence,8,2,-3,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
109,Evidence,11,1,-3,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
84,Evidence,2,9,0,Quality of evidence,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
116,Evidence,12,3,0,Open to evidence,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
104,Evidence,10,1,-3,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
116,Evidence,12,3,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
117,Evidence,12,4,0,Open to evidence,0,0
116,Evidence,12,3,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
100,Evidence,8,2,-3,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
104,Evidence,10,1,-3,Statistical uncertainty,0,0
109,Evidence,11,1,-3,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
94,Evidence,5,4,-2,Control condition,0,0
100,Evidence,8,2,-3,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
109,Evidence,11,1,-3,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
116,Evidence,12,3,0,Open to evidence,0,0
117,Evidence,12,4,0,Open to evidence,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
100,Evidence,8,2,-3,Alternative explanation,0,0
105,Evidence,10,2,-2,Statistical uncertainty,0,0
110,Evidence,11,2,-2,Systematic uncertainty,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
98,Evidence,6,3,-1,Randomized Assignment,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
86,Evidence,4,2,-0.5,Sample representativeness,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
106,Evidence,10,3,-1,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
85,Evidence,4,1,0,Sample representativeness,0,0
97,Evidence,6,2,-2,Randomized Assignment,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
108,Evidence,10,5,0,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
76,Evidence,2,1,0,Quality of evidence,7,57
149,Probability,12,3,1,Open to evidence,331,387
127,Probability,5,2,0.5,Acknowledges uncertainty,343,348
127,Probability,5,2,0.5,Acknowledges uncertainty,343,348
126,Probability,5,1,1,Acknowledges uncertainty,343,348
126,Probability,5,1,1,Acknowledges uncertainty,698,724
127,Probability,5,2,0.5,Acknowledges uncertainty,711,719
82,Evidence,2,7,0,Quality of evidence,807,1021
82,Evidence,2,7,0,Quality of evidence,900,1021
82,Evidence,2,7,0,Quality of evidence,920,1021
78,Evidence,2,3,0,Quality of evidence,920,1021
115,Evidence,12,2,1,Open to evidence,1023,1106
114,Evidence,12,1,2,Open to evidence,1023,1163
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
114,Evidence,12,1,2,Open to evidence,1023,1106
114,Evidence,12,1,2,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
78,Evidence,2,3,0,Quality of evidence,1023,1399
78,Evidence,2,3,0,Quality of evidence,1023,1399
78,Evidence,2,3,0,Quality of evidence,1023,1399
78,Evidence,2,3,0,Quality of evidence,1023,1399
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
114,Evidence,12,1,2,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
76,Evidence,2,1,0,Quality of evidence,1023,1067
114,Evidence,12,1,2,Open to evidence,1023,1106
115,Evidence,12,2,1,Open to evidence,1023,1106
114,Evidence,12,1,2,Open to evidence,1053,1106
83,Evidence,2,8,0,Quality of evidence,1058,1060
82,Evidence,2,7,0,Quality of evidence,1108,1136
82,Evidence,2,7,0,Quality of evidence,1108,1143
83,Evidence,2,8,0,Quality of evidence,1114,1136
83,Evidence,2,8,0,Quality of evidence,1114,1143
83,Evidence,2,8,0,Quality of evidence,1153,1176
78,Evidence,2,3,0,Quality of evidence,1165,1197
78,Evidence,2,3,0,Quality of evidence,1165,1399
76,Evidence,2,1,0,Quality of evidence,1165,1399
77,Evidence,2,2,0,Quality of evidence,1165,1399
78,Evidence,2,3,0,Quality of evidence,1165,1399
80,Evidence,2,5,0,Quality of evidence,1165,1399
79,Evidence,2,4,0,Quality of evidence,1165,1399
76,Evidence,2,1,0,Quality of evidence,1165,1937
78,Evidence,2,3,0,Quality of evidence,1165,1399
76,Evidence,2,1,0,Quality of evidence,1165,1399
78,Evidence,2,3,0,Quality of evidence,1165,1417
78,Evidence,2,3,0,Quality of evidence,1165,1176
78,Evidence,2,3,0,Quality of evidence,1165,1266
78,Evidence,2,3,0,Quality of evidence,1165,1197
80,Evidence,2,5,0,Quality of evidence,1165,1197
80,Evidence,2,5,0,Quality of evidence,1165,1197
80,Evidence,2,5,0,Quality of evidence,1165,1266
76,Evidence,2,1,0,Quality of evidence,1165,1399
80,Evidence,2,5,0,Quality of evidence,1165,1937
82,Evidence,2,7,0,Quality of evidence,1165,1197
78,Evidence,2,3,0,Quality of evidence,1165,1560
80,Evidence,2,5,0,Quality of evidence,1165,1937
78,Evidence,2,3,0,Quality of evidence,1177,1197
78,Evidence,2,3,0,Quality of evidence,1177,1186
80,Evidence,2,5,0,Quality of evidence,1177,1197
80,Evidence,2,5,0,Quality of evidence,1187,1197
78,Evidence,2,3,0,Quality of evidence,1187,1197
80,Evidence,2,5,0,Quality of evidence,1187,1266
78,Evidence,2,3,0,Quality of evidence,1187,1197
78,Evidence,2,3,0,Quality of evidence,1187,1189
80,Evidence,2,5,0,Quality of evidence,1187,1245
76,Evidence,2,1,0,Quality of evidence,1198,1399
77,Evidence,2,2,0,Quality of evidence,1198,1399
78,Evidence,2,3,0,Quality of evidence,1198,1399
77,Evidence,2,2,0,Quality of evidence,1213,1266
80,Evidence,2,5,0,Quality of evidence,1213,1399
77,Evidence,2,2,0,Quality of evidence,1213,1266
76,Evidence,2,1,0,Quality of evidence,1213,1226
77,Evidence,2,2,0,Quality of evidence,1227,1304
77,Evidence,2,2,0,Quality of evidence,1239,1266
78,Evidence,2,3,0,Quality of evidence,1239,1245
77,Evidence,2,2,0,Quality of evidence,1239,1266
77,Evidence,2,2,0,Quality of evidence,1246,1266
92,Evidence,5,2,-0.5,Control condition,1271,1399
79,Evidence,2,4,0,Quality of evidence,1271,1304
78,Evidence,2,3,0,Quality of evidence,1306,1399
78,Evidence,2,3,0,Quality of evidence,1306,1399
78,Evidence,2,3,0,Quality of evidence,1306,1399
78,Evidence,2,3,0,Quality of evidence,1306,1377
78,Evidence,2,3,0,Quality of evidence,1306,1399
78,Evidence,2,3,0,Quality of evidence,1313,1490
76,Evidence,2,1,0,Quality of evidence,1313,1387
78,Evidence,2,3,0,Quality of evidence,1313,1399
78,Evidence,2,3,0,Quality of evidence,1326,1399
78,Evidence,2,3,0,Quality of evidence,1326,1377
78,Evidence,2,3,0,Quality of evidence,1326,1399
78,Evidence,2,3,0,Quality of evidence,1326,1399
78,Evidence,2,3,0,Quality of evidence,1342,1429
76,Evidence,2,1,0,Quality of evidence,1401,1937
76,Evidence,2,1,0,Quality of evidence,1401,1490
76,Evidence,2,1,0,Quality of evidence,1401,1560
77,Evidence,2,2,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1797
76,Evidence,2,1,0,Quality of evidence,1401,1481
79,Evidence,2,4,0,Quality of evidence,1401,1613
76,Evidence,2,1,0,Quality of evidence,1401,1560
77,Evidence,2,2,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1490
77,Evidence,2,2,0,Quality of evidence,1401,1490
78,Evidence,2,3,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1560
78,Evidence,2,3,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1560
78,Evidence,2,3,0,Quality of evidence,1401,1429
76,Evidence,2,1,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1490
76,Evidence,2,1,0,Quality of evidence,1401,1560
76,Evidence,2,1,0,Quality of evidence,1401,1560
79,Evidence,2,4,0,Quality of evidence,1401,1560
77,Evidence,2,2,0,Quality of evidence,1406,1560
78,Evidence,2,3,0,Quality of evidence,1418,1429
80,Evidence,2,5,0,Quality of evidence,1442,1560
79,Evidence,2,4,0,Quality of evidence,1442,1560
80,Evidence,2,5,0,Quality of evidence,1562,1677
80,Evidence,2,5,0,Quality of evidence,1562,1677
77,Evidence,2,2,0,Quality of evidence,1562,1579
80,Evidence,2,5,0,Quality of evidence,1562,1937
77,Evidence,2,2,0,Quality of evidence,1562,1677
92,Evidence,5,2,-0.5,Control condition,1562,1677
80,Evidence,2,5,0,Quality of evidence,1562,1677
91,Evidence,5,1,0,Control condition,1562,1677
80,Evidence,2,5,0,Quality of evidence,1562,1937
76,Evidence,2,1,0,Quality of evidence,1562,1677
80,Evidence,2,5,0,Quality of evidence,1562,1677
81,Evidence,2,6,0,Quality of evidence,1562,1786
80,Evidence,2,5,0,Quality of evidence,1562,1677
80,Evidence,2,5,0,Quality of evidence,1562,1677
80,Evidence,2,5,0,Quality of evidence,1576,1677
91,Evidence,5,1,0,Control condition,1576,1641
80,Evidence,2,5,0,Quality of evidence,1576,1677
92,Evidence,5,2,-0.5,Control condition,1576,1677
78,Evidence,2,3,0,Quality of evidence,1576,1677
82,Evidence,2,7,0,Quality of evidence,1576,1594
77,Evidence,2,2,0,Quality of evidence,1580,1585
80,Evidence,2,5,0,Quality of evidence,1580,1677
79,Evidence,2,4,0,Quality of evidence,1580,1677
77,Evidence,2,2,0,Quality of evidence,1586,1651
80,Evidence,2,5,0,Quality of evidence,1586,1641
92,Evidence,5,2,-0.5,Control condition,1586,1641
92,Evidence,5,2,-0.5,Control condition,1607,1641
91,Evidence,5,1,0,Control condition,1607,1641
91,Evidence,5,1,0,Control condition,1614,1641
91,Evidence,5,1,0,Control condition,1614,1641
92,Evidence,5,2,-0.5,Control condition,1614,1641
77,Evidence,2,2,0,Quality of evidence,1651,1652
77,Evidence,2,2,0,Quality of evidence,1652,1937
76,Evidence,2,1,0,Quality of evidence,1669,1937
77,Evidence,2,2,0,Quality of evidence,1679,1937
78,Evidence,2,3,0,Quality of evidence,1679,1937
79,Evidence,2,4,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1786
76,Evidence,2,1,0,Quality of evidence,1679,1937
77,Evidence,2,2,0,Quality of evidence,1679,1937
78,Evidence,2,3,0,Quality of evidence,1679,1806
76,Evidence,2,1,0,Quality of evidence,1679,1937
77,Evidence,2,2,0,Quality of evidence,1679,1937
78,Evidence,2,3,0,Quality of evidence,1679,1937
80,Evidence,2,5,0,Quality of evidence,1679,1937
79,Evidence,2,4,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1937
77,Evidence,2,2,0,Quality of evidence,1679,1937
80,Evidence,2,5,0,Quality of evidence,1679,1937
80,Evidence,2,5,0,Quality of evidence,1679,1748
80,Evidence,2,5,0,Quality of evidence,1679,1937
81,Evidence,2,6,0,Quality of evidence,1679,1937
91,Evidence,5,1,0,Control condition,1679,1738
80,Evidence,2,5,0,Quality of evidence,1679,1786
81,Evidence,2,6,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1786
81,Evidence,2,6,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1937
115,Evidence,12,2,1,Open to evidence,1679,1937
79,Evidence,2,4,0,Quality of evidence,1679,1937
76,Evidence,2,1,0,Quality of evidence,1679,1937
91,Evidence,5,1,0,Control condition,1679,1937
130,Probability,7,2,-2,Numeric context,1682,1738
145,Probability,10,2,-1,False precision,1682,1738
76,Evidence,2,1,0,Quality of evidence,1688,1706
76,Evidence,2,1,0,Quality of evidence,1708,1718
81,Evidence,2,6,0,Quality of evidence,1708,1710
79,Evidence,2,4,0,Quality of evidence,1740,1937
115,Evidence,12,2,1,Open to evidence,1794,1806
76,Evidence,2,1,0,Quality of evidence,1882,1937
92,Evidence,5,2,-0.5,Control condition,1882,1937
92,Evidence,5,2,-0.5,Control condition,1882,1937
92,Evidence,5,2,-0.5,Control condition,1882,1890
92,Evidence,5,2,-0.5,Control condition,1882,1937
92,Evidence,5,2,-0.5,Control condition,1882,1937
91,Evidence,5,1,0,Control condition,1882,1937
80,Evidence,2,5,0,Quality of evidence,1882,1937
76,Evidence,2,1,0,Quality of evidence,1882,1937
92,Evidence,5,2,-0.5,Control condition,1882,1937
115,Evidence,12,2,1,Open to evidence,1891,1937
130,Probability,7,2,-2,Numeric context,1896,1906
145,Probability,10,2,-1,False precision,1896,1906
92,Evidence,5,2,-0.5,Control condition,1896,1937
92,Evidence,5,2,-0.5,Control condition,1937,1937
76,Evidence,2,1,0,Quality of evidence,1939,2236
80,Evidence,2,5,0,Quality of evidence,1939,2035
83,Evidence,2,8,0,Quality of evidence,1939,2236
82,Evidence,2,7,0,Quality of evidence,1939,1952
115,Evidence,12,2,1,Open to evidence,1939,1952
130,Probability,7,2,-2,Numeric context,2004,2024
76,Evidence,2,1,0,Quality of evidence,2037,2236
77,Evidence,2,2,0,Quality of evidence,2098,2403
